player_id,inline_rate,yards_per_reception,fumbles,slot_snaps,grades_hands_drop,pass_blocks,franchise_id,route_rate,wide_rate,contested_catch_rate,yards,contested_targets,targets,grades_offense,avg_depth_of_target,routes,penalties,player,inline_snaps,interceptions,yards_after_catch,drop_rate,yprr,touchdowns,caught_percent,position,wide_snaps,grades_pass_route,pass_plays,targeted_qb_rating,drops,avoided_tackles,grades_pass_block,pass_block_rate,receptions,yards_after_catch_per_reception,team_name,player_game_count,longest,declined_penalties,first_downs,grades_hands_fumble,slot_rate,contested_receptions
97108,5.2,12.5,0,406,91.3,0,335,95.0,6.7,64.7,1384,17,138,91.1,8.1,439,1,Malik Washington,24,5,710,2.6,3.15,9,80.4,WR,31,92.4,462,115.1,3,35,,0.0,111,6.4,VIRGINIA,12,64,0,58,79.3,87.9,11
146759,0.2,18.0,0,226,80.0,0,211,96.2,46.2,47.6,1545,21,124,93.3,12.5,406,3,Malik Nabers,1,2,580,5.5,3.81,14,69.4,WR,195,93.5,422,142.7,5,30,,0.0,86,6.7,LSU,12,51,0,69,76.6,53.6,10
73774,0.9,18.2,2,82,83.7,0,340,93.1,81.1,70.8,1325,24,114,88.0,16.2,429,1,Rome Odunze,4,5,390,3.9,3.09,13,64.0,WR,374,88.1,461,123.6,3,12,,0.0,73,5.3,WASHINGTON,12,50,0,60,40.9,17.8,17
145056,0.8,18.1,0,71,69.3,0,260,96.2,79.8,43.3,1211,30,114,89.9,13.1,352,1,Marvin Harrison Jr.,3,4,427,8.2,3.44,14,58.8,WR,292,89.6,366,120.3,6,5,,0.0,67,6.4,OHIO STATE,12,75,0,51,75.6,19.4,13
100894,0.0,8.7,1,298,70.1,1,109,96.0,29.3,30.8,716,13,112,72.7,5.9,409,1,Jacob Cowing,0,4,471,6.8,1.75,11,73.2,WR,125,74.6,426,107.6,6,8,62.1,0.2,82,5.7,ARIZONA,12,37,0,41,54.2,70.0,4
66272,0.0,12.8,2,314,65.3,0,346,94.0,13.7,23.5,959,17,110,82.2,5.8,344,0,Malachi Corley,0,3,648,7.4,2.79,11,68.2,WR,50,82.1,366,117.2,6,13,,0.0,75,8.6,W KENTUCKY,11,75,0,40,36.9,85.8,4
101634,0.0,14.2,0,327,83.5,0,275,94.6,28.7,60.7,963,28,110,81.4,10.9,438,2,Luke McCaffrey,0,7,408,4.2,2.2,12,61.8,WR,133,84.2,463,99.9,3,10,,0.0,68,6.0,RICE,12,51,0,44,77.4,70.6,17
146567,0.8,17.5,0,67,61.7,0,264,95.0,82.5,37.5,1349,16,105,85.9,13.0,380,1,Troy Franklin,3,1,526,10.5,3.55,14,73.3,WR,330,88.5,400,150.9,9,13,,0.0,77,6.8,OREGON,12,84,0,54,75.9,16.8,6
144718,0.0,13.2,1,150,72.9,0,311,96.0,62.1,25.0,883,20,103,70.1,10.3,382,1,Xavier Worthy,0,2,463,6.9,2.31,5,65.0,WR,247,73.4,398,100.1,5,11,,0.0,67,6.9,TEXAS,12,45,0,42,57.0,37.7,5
99197,0.0,17.7,0,141,88.1,0,289,95.9,64.6,47.6,1255,21,97,82.5,13.8,398,1,Xavier Legette,0,3,451,2.7,3.15,7,73.2,WR,268,86.9,415,126.3,2,9,,0.0,71,6.4,S CAROLINA,12,76,0,47,77.6,34.0,10
123153,0.0,17.1,1,173,73.0,0,340,93.5,58.3,55.0,943,20,87,75.5,14.5,390,1,Ja'Lynn Polk,0,2,240,6.8,2.42,8,63.2,WR,243,76.1,417,121.0,4,10,,0.0,55,4.4,WASHINGTON,12,92,0,37,49.8,41.5,11
100660,0.9,14.8,1,260,86.8,0,163,93.9,42.2,50.0,963,10,87,77.2,11.0,432,0,Ricky Pearsall,4,2,374,3.0,2.23,4,74.7,WR,194,77.8,460,116.2,2,9,,0.0,65,5.8,FLORIDA,12,61,0,40,65.5,56.5,5
97399,0.0,14.4,1,37,59.4,0,210,94.1,89.0,21.4,791,14,84,78.9,11.6,317,1,Jamari Thrash,0,2,386,11.3,2.5,6,65.5,WR,300,79.1,337,109.8,7,17,,0.0,55,7.0,LOUISVILLE,11,85,0,37,49.3,11.0,3
98847,0.0,17.5,1,33,78.1,0,268,96.3,90.5,50.0,718,22,82,71.1,17.7,336,3,Bub Means,0,2,215,4.7,2.14,6,50.0,WR,316,72.0,349,94.5,2,3,,0.0,41,5.2,PITTSBURGH,12,75,0,27,40.2,9.5,11
144949,0.3,13.9,1,105,91.9,0,167,93.6,70.7,33.3,639,30,80,72.2,12.8,351,3,Keon Coleman,1,2,286,0.0,1.82,11,57.5,WR,265,72.7,375,112.4,0,10,,0.0,46,6.2,FLORIDA ST,11,58,0,28,68.7,28.0,10
99207,0.0,15.0,1,278,88.8,0,312,94.6,23.8,55.6,795,9,78,77.1,10.4,350,2,Ainias Smith,0,3,355,1.9,2.27,2,67.9,WR,88,79.4,370,93.7,1,20,,0.0,53,6.7,TEXAS A&M,12,42,0,35,71.8,75.1,5
101710,0.0,13.7,0,21,82.0,0,187,93.0,95.3,59.1,670,22,76,71.4,10.1,412,0,Casey Washington,0,5,238,3.9,1.63,4,64.5,WR,422,71.2,443,82.7,2,5,,0.0,49,4.9,ILLINOIS,12,80,0,32,73.9,4.7,13
122616,53.4,13.9,1,130,80.9,32,199,87.8,6.1,35.7,669,14,73,82.0,10.1,332,5,Ben Sinnott,202,3,326,4.0,2.02,6,65.8,TE,23,81.0,378,105.3,2,14,72.8,8.5,48,6.8,KANSAS ST,12,44,1,31,45.0,34.4,5
123904,0.0,22.5,0,92,54.6,0,323,94.1,72.9,46.2,966,13,71,79.7,17.2,319,2,Javon Baker,0,3,318,12.2,3.03,6,60.6,WR,247,81.3,339,115.2,6,6,,0.0,43,7.4,UCF,12,86,0,36,73.2,27.1,6
146712,0.0,15.6,0,81,86.8,0,311,96.1,80.2,33.3,704,9,70,72.7,16.2,393,2,Adonai Mitchell,0,2,135,2.2,1.79,9,64.3,WR,328,74.7,409,125.2,1,5,,0.0,45,3.0,TEXAS,12,47,0,38,45.4,19.8,3
131692,0.3,17.6,1,41,80.3,2,326,88.3,86.8,25.0,791,12,70,77.5,15.1,288,0,Brenden Rice,1,1,234,4.3,2.75,12,64.3,WR,283,78.8,326,136.4,2,9,81.6,0.6,45,5.2,USC,12,75,0,36,43.2,12.6,3
97078,0.0,16.2,2,22,67.0,0,265,97.2,92.4,44.4,711,9,70,73.9,13.6,280,0,Anthony Gould,0,3,254,8.3,2.54,2,62.9,WR,266,74.1,288,88.5,4,3,,0.0,44,5.8,OREGON ST,11,75,0,30,44.0,7.6,4
100637,1.2,13.8,0,118,78.9,0,328,94.8,64.7,42.9,593,14,70,66.8,11.8,328,2,Devaughn Vele,4,2,145,4.4,1.81,3,61.4,WR,224,69.1,346,91.0,2,2,,0.0,43,3.4,UTAH,10,68,0,25,73.4,34.1,6
97288,1.1,18.5,0,326,88.4,0,326,90.3,6.4,60.0,963,10,67,81.0,10.9,326,1,Tahj Washington,4,1,469,1.9,2.95,6,77.6,WR,23,82.9,361,142.4,1,13,,0.0,52,9.0,USC,12,76,0,33,74.4,90.3,6
76366,0.0,15.3,0,24,58.3,0,167,92.7,90.2,40.0,596,20,66,75.9,14.3,228,2,Johnny Wilson,0,0,141,11.4,2.61,2,59.1,WR,222,75.2,246,99.1,5,7,,0.0,39,3.6,FLORIDA ST,9,44,0,30,72.9,9.8,8
145773,0.0,17.0,1,23,72.1,1,245,92.2,93.1,58.8,699,17,66,68.2,18.2,306,0,Devontez Walker,0,3,113,6.8,2.28,7,62.1,WR,309,68.3,332,114.4,3,2,61.9,0.3,41,2.8,N CAROLINA,8,56,0,25,44.4,6.9,10
98508,54.2,11.1,0,121,87.6,37,305,86.3,6.2,40.0,520,5,65,68.0,6.8,322,4,Jared Wiley,202,4,301,2.1,1.61,8,72.3,TE,23,74.8,373,109.6,1,3,71.1,9.9,47,6.4,TCU,12,81,0,27,73.8,32.4,2
145443,0.0,18.3,2,152,87.4,0,321,97.1,63.2,72.7,861,11,64,71.4,11.2,401,3,Tejhaun Palmer,0,1,413,2.1,2.15,7,73.4,WR,261,70.3,413,145.3,1,7,54.4,0.0,47,8.8,UAB,12,80,0,32,25.9,36.8,8
146715,38.2,13.0,2,134,76.3,23,173,86.4,9.6,25.0,664,8,63,85.9,6.5,242,3,Brock Bowers,107,0,438,5.6,2.74,6,81.0,TE,27,87.0,280,142.3,3,17,71.3,8.2,51,8.6,GEORGIA,9,49,0,32,28.3,47.9,2
129604,0.0,16.2,0,146,84.5,0,222,97.8,34.5,60.0,648,5,55,84.5,14.8,218,0,Roman Wilson,0,1,147,2.4,2.97,11,72.7,WR,77,85.9,223,143.8,1,2,,0.0,40,3.7,MICHIGAN,12,47,0,31,73.2,65.5,3
124225,43.3,12.9,0,124,57.4,23,167,85.6,10.6,50.0,503,6,52,74.1,7.9,243,1,Jaheim Bell,123,0,315,9.3,2.07,2,75.0,TE,30,76.8,284,117.7,4,12,51.8,8.1,39,8.1,FLORIDA ST,12,49,0,23,74.0,43.7,3
87645,70.9,12.0,0,92,91.2,85,109,78.5,8.1,42.9,502,7,51,70.6,6.8,350,1,Tanner McLachlan,316,3,265,0.0,1.43,4,82.4,TE,36,74.7,446,109.3,0,11,67.7,19.1,42,6.3,ARIZONA,12,36,0,23,73.1,20.6,3
101486,48.4,14.0,1,139,91.1,40,260,84.5,7.6,60.0,576,10,51,76.9,8.2,267,1,Cade Stover,153,1,284,0.0,2.16,5,80.4,TE,24,81.0,316,138.2,0,8,67.9,12.7,41,6.9,OHIO STATE,11,49,0,27,40.2,44.0,6
144717,64.2,16.2,0,70,89.5,51,311,83.0,15.0,45.5,502,11,50,70.5,10.8,283,1,Ja'Tavion Sanders,219,1,250,0.0,1.77,1,62.0,TE,51,72.7,341,93.9,0,3,57.5,15.0,31,8.1,TEXAS,12,50,0,21,71.9,20.5,5
124017,0.0,22.7,1,47,90.3,0,103,97.6,80.9,58.3,749,12,47,82.2,20.6,240,3,Jermaine Burton,0,3,124,0.0,3.12,7,70.2,WR,199,84.8,246,125.7,0,3,,0.0,33,3.8,ALABAMA,11,68,0,27,35.8,19.1,7
97996,0.0,15.2,0,18,59.6,0,222,98.1,93.2,87.5,503,8,47,71.5,13.2,260,0,Cornelius Johnson,0,1,108,10.8,1.93,1,70.2,WR,247,70.8,265,103.4,4,4,,0.0,33,3.3,MICHIGAN,12,50,0,24,72.8,6.8,7
97623,0.0,11.4,0,225,60.1,2,311,95.2,15.8,0.0,376,1,46,63.9,6.8,259,2,Jordan Whittington,0,0,186,8.3,1.45,1,71.7,WR,43,63.0,272,103.2,3,11,76.2,0.7,33,5.6,TEXAS,12,31,1,19,73.7,82.7,0
129787,47.9,10.2,0,119,74.5,37,266,84.6,9.6,75.0,325,4,43,60.6,7.4,263,5,Theo Johnson,149,0,156,5.9,1.24,6,74.4,TE,30,65.3,311,135.2,2,2,55.7,11.9,32,4.9,PENN STATE,12,34,0,17,72.2,38.3,3
101135,0.0,17.5,0,145,58.4,0,319,96.1,18.5,37.5,421,8,41,75.2,12.1,171,0,Jha'Quan Jackson,0,1,154,11.1,2.46,4,58.5,WR,33,74.0,178,116.0,3,8,,0.0,24,6.4,TULANE,9,48,0,15,82.7,81.5,3
131905,0.7,13.2,1,133,43.1,0,340,92.5,4.8,0.0,331,1,34,65.6,10.1,135,2,Jalen McMillan,1,0,187,16.7,2.45,3,73.5,WR,7,65.5,146,133.3,5,4,,0.0,25,7.5,WASHINGTON,8,39,0,12,44.4,91.1,0
52595,41.3,14.2,1,68,47.3,3,192,94.2,0.0,33.3,299,6,34,72.4,8.7,114,1,Erick All,50,0,128,16.0,2.62,3,61.8,TE,0,76.1,121,119.6,4,4,48.3,2.5,21,6.1,IOWA,7,34,0,13,27.3,56.2,2
124030,0.0,16.3,0,29,69.5,0,173,99.2,75.4,33.3,423,3,31,81.9,12.3,117,0,Ladd McConkey,0,0,163,7.1,3.62,2,83.9,WR,89,81.7,118,140.3,2,7,,0.0,26,6.3,GEORGIA,7,54,0,17,71.9,24.6,1
129433,58.4,11.2,0,57,75.4,44,222,77.4,15.8,60.0,236,5,27,86.0,8.0,171,3,AJ Barner,129,0,107,4.5,1.38,1,77.8,TE,35,72.6,221,115.4,1,5,60.9,19.9,21,5.1,MICHIGAN,12,22,0,14,70.4,25.8,3
129423,62.1,10.7,0,111,75.2,80,187,71.5,4.7,25.0,203,4,24,60.1,6.0,243,1,Tip Reiman,211,0,105,0.0,0.84,3,79.2,TE,16,61.3,340,141.5,0,2,65.1,23.5,19,5.5,ILLINOIS,12,42,0,14,71.0,32.6,1
84080,64.2,12.9,0,33,69.9,36,340,68.2,12.2,50.0,181,4,19,68.4,8.5,101,1,Devin Culp,95,0,124,0.0,1.79,2,73.7,TE,18,66.1,148,138.3,0,1,58.6,24.3,14,8.9,WASHINGTON,12,30,0,7,69.2,22.3,2
